n,cov_cls,cov_wppi,mse_cls,mse_wppi,ess_wppi
50,0.7352000000000001,0.8248,0.005522335559769999,0.00322832422006213,1.3721762064920735
100,0.6072000000000001,0.8376,0.004040748512750724,0.001801523067532828,1.3139041986931248
200,0.4616,0.8344,0.003110260143439518,0.0008754516502709671,1.2374481508920594
300,0.36960000000000004,0.8008,0.0025723065751226386,0.0007222378453588054,1.2186970371915442
400,0.232,0.7632000000000001,0.0027616831514169463,0.0006245174137275998,1.1840705781038428
500,0.14,0.7184,0.002693278371647466,0.0006033532461691902,1.1566443954918129
