n,cov_cls,cov_wppi,mse_cls,mse_wppi,ess_wppi
50,0.7352000000000001,0.8352,0.005522335559769999,0.0031992329085070376,1.3712962691447101
100,0.6072000000000001,0.8296,0.004040748512750724,0.0018156624311153082,1.3072259753673994
200,0.4616,0.8344000000000001,0.003110260143439518,0.0008867186755687866,1.2332722956333282
300,0.36960000000000004,0.8,0.0025723065751226386,0.0007337517435946677,1.213570190330374
400,0.232,0.7776000000000001,0.0027616831514169463,0.0006409440436831847,1.1826941248126968
500,0.14,0.716,0.002693278371647466,0.0006290193399969006,1.1550060711339938
