n,cov_cls,cov_wppi,mse_cls,mse_wppi,ess_wppi
50,0.7352000000000001,0.8255999999999999,0.005522335559769999,0.0027786413013150837,1.5251266887066353
100,0.6072000000000001,0.8224,0.004040748512750724,0.0014926597980458721,1.4970449508815502
200,0.4616,0.8336,0.003110260143439518,0.000773524629811728,1.457290975994218
300,0.36960000000000004,0.84,0.0025723065751226386,0.0004995009266629691,1.463072388833277
400,0.232,0.7688,0.0027616831514169463,0.0004907103293976946,1.46127490128983
500,0.14,0.772,0.002693278371647466,0.0003977671080413306,1.4534143333724194
