n,cov_cls,cov_wppi,mse_cls,mse_wppi,ess_wppi
50,0.7352000000000001,0.8232,0.005522335559769999,0.003339791118095657,1.379420179875559
100,0.6072000000000001,0.8352,0.004040748512750724,0.0018178008500839642,1.2952150673836664
200,0.4616,0.8231999999999999,0.003110260143439518,0.0009097275325993117,1.22475303914873
300,0.36960000000000004,0.8,0.0025723065751226386,0.0007521084422258075,1.211565915919158
400,0.232,0.7744000000000001,0.0027616831514169463,0.0006266171723077171,1.1749113715026
500,0.14,0.7,0.002693278371647466,0.0006656068958676697,1.1454609275278003
