n,cov_cls,cov_wppi,mse_cls,mse_wppi,ess_wppi
50,0.7352000000000001,0.8255999999999999,0.005522335559769999,0.003048230923388468,1.4367830871370086
100,0.6072000000000001,0.8312,0.004040748512750724,0.0015458333995577967,1.4609257492596122
200,0.4616,0.84,0.003110260143439518,0.0007597197495118135,1.4597149467450647
300,0.36960000000000004,0.8424,0.0025723065751226386,0.00048325657642102695,1.4747364452471048
400,0.232,0.7936,0.0027616831514169463,0.00045063119027794634,1.4853086147768946
500,0.14,0.7976,0.002693278371647466,0.0003526859683802541,1.4739274546195091
