n,cov_cls,cov_wppi,mse_cls,mse_wppi,ess_wppi
50,0.7352000000000001,0.8328,0.005522335559769999,0.003386468568326779,1.3481025847608317
100,0.6072000000000001,0.824,0.004040748512750724,0.001859373552280591,1.3042435685438922
200,0.4616,0.8295999999999999,0.003110260143439518,0.0009041941634700214,1.22741325054863
300,0.36960000000000004,0.7968000000000001,0.0025723065751226386,0.0007197987594186171,1.2155316011585733
400,0.232,0.7664000000000001,0.0027616831514169463,0.0006551980840160665,1.1804116949928316
500,0.14,0.6968,0.002693278371647466,0.0006440006790121636,1.1508574891887746
