n,cov_cls,cov_wppi,mse_cls,mse_wppi,ess_wppi
50,0.7352000000000001,0.8288,0.005522335559769999,0.0030048606269557575,1.4537503791363144
100,0.6072000000000001,0.82,0.004040748512750724,0.0016334151556268988,1.4258864440739707
200,0.4616,0.8344,0.003110260143439518,0.000808065108777511,1.3410470600265916
300,0.36960000000000004,0.8552000000000001,0.0025723065751226386,0.0005226858345224035,1.3476686798717983
400,0.232,0.8152,0.0027616831514169463,0.0004431689484544288,1.3194258151824543
500,0.14,0.828,0.002693278371647466,0.0003524361542271295,1.2869192433349783
