n,cov_cls,cov_wppi,mse_cls,mse_wppi,ess_wppi
50,0.8816,0.8472000000000001,0.0037279801428085194,0.003036367615813508,1.5681664985089783
100,0.9096,0.8536,0.0016996701309108175,0.0015143068717523404,1.5081742599641697
200,0.9087999999999999,0.8864,0.0009166044031444471,0.000659670490254208,1.4985060416666722
300,0.8887999999999999,0.86,0.0006318682274722959,0.0004760629473023903,1.4802403403474746
400,0.9151999999999999,0.8904,0.0004407770750767668,0.00033791492942395667,1.493221638341648
500,0.9064000000000001,0.8807999999999999,0.0003534932522670715,0.0002750588682358569,1.4897457756535237
