n,cov_cls,cov_wppi,mse_cls,mse_wppi,ess_wppi
50,0.31120000000000003,0.7024000000000001,0.01441618653293699,0.0074777716062410056,0.8405888700720621
100,0.09519999999999999,0.7072,0.012869996669469402,0.004212540000545673,0.7090015967195133
200,0.0064,0.7447999999999999,0.01305206867074594,0.002396542546862725,0.5705098684536033
300,0.0,0.772,0.012391532712616027,0.0015772208482812955,0.5337532568686186
400,0.0,0.792,0.012228350076824426,0.0010588288194425684,0.5040393886998844
500,0.0,0.7952,0.012206356022506953,0.0009091357040079618,0.4919008043944806
