n,cov_cls,cov_wppi,mse_cls,mse_wppi,ess_wppi
50,0.7352000000000001,0.8328,0.005522335559769999,0.0032326396786824707,1.3823099046262133
100,0.6072000000000001,0.8312,0.004040748512750724,0.0017952008140632468,1.2964502181372628
200,0.4616,0.8304,0.003110260143439518,0.000935414370381728,1.2339000096157293
300,0.36960000000000004,0.7984,0.0025723065751226386,0.0007590472762156534,1.21625182840881
400,0.232,0.764,0.0027616831514169463,0.0006493999032619659,1.1786457908622352
500,0.14,0.7095999999999999,0.002693278371647466,0.0006359965693101016,1.151231693811407
