n,cov_cls,cov_wppi,mse_cls,mse_wppi,ess_wppi
50,0.8255999999999999,0.8424,0.004466171034029685,0.003065579765695249,1.4450409334252958
100,0.8184000000000001,0.8696,0.002316741720191203,0.001419733170014824,1.4273480366605114
200,0.7487999999999999,0.8767999999999999,0.0015080994222516893,0.0007029660402230307,1.3914328353058898
300,0.6976,0.848,0.0011946164136970765,0.0005482899029961807,1.4088066524666798
400,0.6167999999999999,0.856,0.0011875491611353936,0.00040426019874722043,1.3749151210407249
500,0.5824,0.8432000000000001,0.0009670441375055816,0.0003455663107468001,1.380269431797772
