n,cov_cls,cov_wppi,mse_cls,mse_wppi,ess_wppi
50,0.7352000000000001,0.8136000000000001,0.005522335559769999,0.003367303930134566,1.3749473941348926
100,0.6072000000000001,0.8295999999999999,0.004040748512750724,0.0018255498133170059,1.292969905238322
200,0.4616,0.8448,0.003110260143439518,0.0008780507039062334,1.2309239821192537
300,0.36960000000000004,0.7992,0.0025723065751226386,0.0007263133953105892,1.2149093976047864
400,0.232,0.7568,0.0027616831514169463,0.0006767036075086964,1.172742335881515
500,0.14,0.708,0.002693278371647466,0.000646020339767662,1.1497570409509663
