n,cov_cls,cov_wppi,mse_cls,mse_wppi,ess_wppi
50,0.5224000000000001,0.7647999999999999,0.009587376520677935,0.005440758401672492,1.121508489821858
100,0.26880000000000004,0.7392000000000001,0.00868174092080153,0.0032553633003842997,0.9636449939350222
200,0.06720000000000002,0.7767999999999999,0.0079402437396202,0.0014583837907898882,0.8594027898698341
300,0.02,0.7335999999999999,0.007591172953601927,0.0012908379010743531,0.7994047445242338
400,0.008,0.7175999999999999,0.00731556951906532,0.0009420430019015182,0.810600512144636
500,0.0016,0.7056,0.007198190806433558,0.0008676221505593093,0.7858359119691103
