trial,spearman_cls,spearman_ppi,spearman_wppi
0,0.9285714285714288,0.9285714285714288,0.5357142857142858
1,0.9285714285714288,0.8571428571428573,0.8571428571428573
2,0.9642857142857145,0.9642857142857145,0.9642857142857145
3,0.9285714285714288,0.9642857142857145,1.0
4,0.9642857142857145,0.9642857142857145,0.8928571428571429
5,0.9642857142857145,0.9642857142857145,1.0
6,0.9285714285714288,0.8571428571428573,0.6785714285714287
7,0.9285714285714288,0.9642857142857145,0.7857142857142859
8,0.9285714285714288,0.9642857142857145,0.9642857142857145
9,0.8214285714285715,0.8214285714285715,0.8214285714285715
10,0.9642857142857145,0.9285714285714288,0.9285714285714288
11,0.9642857142857145,0.9642857142857145,0.9642857142857145
12,0.9642857142857145,0.9642857142857145,0.9285714285714288
13,0.9642857142857145,0.8928571428571429,0.9642857142857145
14,0.9285714285714288,0.9285714285714288,0.9642857142857145
15,0.9642857142857145,1.0,0.9285714285714288
16,0.9642857142857145,1.0,0.6785714285714287
17,0.9642857142857145,0.9642857142857145,0.7142857142857144
18,0.9642857142857145,0.9642857142857145,0.9285714285714288
19,0.9642857142857145,0.9642857142857145,0.9642857142857145
20,0.9285714285714288,0.9642857142857145,0.6785714285714287
21,0.9642857142857145,0.8928571428571429,0.9285714285714288
22,0.9642857142857145,0.9642857142857145,0.9642857142857145
23,0.9642857142857145,0.9642857142857145,0.8928571428571429
24,0.8571428571428573,0.8571428571428573,0.5357142857142858
25,0.9285714285714288,0.9285714285714288,0.8571428571428573
26,0.9642857142857145,1.0,0.8571428571428573
27,0.9642857142857145,0.9642857142857145,0.9642857142857145
28,0.9642857142857145,0.9642857142857145,0.8928571428571429
29,0.9642857142857145,0.8928571428571429,-0.14285714285714288
30,0.9285714285714288,0.9285714285714288,0.9642857142857145
31,0.9642857142857145,1.0,0.9285714285714288
32,0.9642857142857145,0.9642857142857145,0.9642857142857145
33,0.9642857142857145,1.0,0.8928571428571429
34,0.8571428571428573,0.9642857142857145,0.8571428571428573
35,0.9642857142857145,1.0,0.9285714285714288
36,0.9642857142857145,0.9642857142857145,1.0
37,0.9285714285714288,0.9285714285714288,0.8571428571428573
38,0.9285714285714288,0.9285714285714288,0.8214285714285715
39,0.9642857142857145,0.9642857142857145,0.8571428571428573
40,0.9285714285714288,0.9285714285714288,0.10714285714285716
41,0.9642857142857145,1.0,0.5714285714285715
42,0.9285714285714288,0.9642857142857145,1.0
43,0.9285714285714288,0.9285714285714288,0.9642857142857145
44,0.9642857142857145,0.8928571428571429,0.9642857142857145
45,0.7857142857142859,0.9285714285714288,0.8571428571428573
46,0.9285714285714288,0.8214285714285715,-0.07142857142857144
47,0.9642857142857145,0.8928571428571429,0.9642857142857145
48,0.9642857142857145,1.0,0.9642857142857145
49,1.0,1.0,0.9642857142857145
50,0.8571428571428573,0.9285714285714288,0.8571428571428573
51,1.0,1.0,1.0
52,0.9642857142857145,1.0,1.0
53,0.9285714285714288,0.9642857142857145,0.8214285714285715
54,0.9642857142857145,0.9285714285714288,0.8571428571428573
55,0.9642857142857145,0.9642857142857145,0.9642857142857145
56,0.9285714285714288,0.9642857142857145,0.8928571428571429
57,0.9285714285714288,0.8571428571428573,0.9642857142857145
58,0.9642857142857145,0.9642857142857145,1.0
59,0.9642857142857145,0.9642857142857145,0.8928571428571429
60,0.9285714285714288,0.9642857142857145,0.9642857142857145
61,0.9642857142857145,0.8928571428571429,0.9642857142857145
62,0.9642857142857145,0.9642857142857145,0.9285714285714288
63,0.9642857142857145,0.8928571428571429,0.8928571428571429
64,0.9285714285714288,0.8571428571428573,0.9642857142857145
65,0.9642857142857145,0.9642857142857145,0.9642857142857145
66,0.9642857142857145,0.9642857142857145,0.9642857142857145
67,0.9285714285714288,0.9285714285714288,0.9285714285714288
68,0.9285714285714288,0.9285714285714288,0.7857142857142859
69,0.9285714285714288,0.9285714285714288,0.642857142857143
70,0.9642857142857145,0.8571428571428573,0.9285714285714288
71,0.9285714285714288,0.8571428571428573,0.8928571428571429
72,0.642857142857143,0.8928571428571429,1.0
73,0.8571428571428573,0.8928571428571429,0.9642857142857145
74,0.9642857142857145,0.8928571428571429,0.8928571428571429
75,0.9285714285714288,0.9285714285714288,0.9642857142857145
76,0.9642857142857145,0.9642857142857145,0.7857142857142859
77,0.9642857142857145,0.9642857142857145,0.8928571428571429
78,0.9642857142857145,0.9642857142857145,0.9642857142857145
79,1.0,1.0,0.7500000000000002
80,0.8571428571428573,0.8214285714285715,0.7500000000000002
81,0.9642857142857145,0.9642857142857145,0.8571428571428573
82,0.9642857142857145,0.9642857142857145,1.0
83,0.9642857142857145,1.0,0.6785714285714287
84,0.9642857142857145,0.9642857142857145,0.7142857142857144
85,0.9642857142857145,1.0,0.8928571428571429
86,0.9285714285714288,0.9285714285714288,1.0
87,1.0,1.0,0.9642857142857145
88,0.9285714285714288,0.9285714285714288,0.8928571428571429
89,0.6785714285714287,0.6785714285714287,0.8928571428571429
90,0.9642857142857145,0.9642857142857145,0.9285714285714288
91,0.9285714285714288,0.8571428571428573,0.6785714285714287
92,0.9642857142857145,0.9642857142857145,0.9642857142857145
93,1.0,1.0,1.0
94,0.9642857142857145,0.9642857142857145,0.9642857142857145
95,0.9642857142857145,0.9642857142857145,0.9642857142857145
96,0.9285714285714288,0.8571428571428573,0.642857142857143
97,0.9642857142857145,0.8571428571428573,0.9642857142857145
98,0.9642857142857145,0.9642857142857145,0.6785714285714287
99,0.9642857142857145,0.8928571428571429,1.0
