n,cov_cls,cov_ppi,cov_wppi,wid_cls,wid_ppi,wid_wppi,mse_cls,mse_ppi,mse_wppi,ess_ppi,ess_wppi
200,0.1977142857142857,0.1662857142857143,0.556,0.9333591687536522,0.9300525098026369,1.0074560605584186,0.576546758245041,0.6218660589165679,0.3118080361053502,1.0075000361963584,0.8874834403588183
400,0.04057142857142857,0.029142857142857147,0.36057142857142854,0.6551982202381315,0.6532768255169177,0.725834397000587,0.5035251581141335,0.5430143484914386,0.2230449011084268,1.006179205305879,0.8342673327409885
600,0.006857142857142857,0.004571428571428571,0.19428571428571428,0.5387148678817847,0.5372644918105006,0.5998996447477599,0.5309072357810337,0.5706560543593795,0.22608320947600435,1.0057125021590003,0.8200009425049707
800,0.0,0.0,0.14228571428571427,0.46701801970811146,0.4658239475854996,0.5227411864171552,0.4911422381768603,0.5299995486286098,0.1988103257584242,1.0053922201462064,0.8121563972141268
1000,0.0,0.0,0.09142857142857141,0.4169134233152926,0.4159177235291689,0.4640798173781562,0.500064934037694,0.5371868872238696,0.20171476914688685,1.0050383262857618,0.8154815935936349
1500,0.0,0.0,0.02857142857142857,0.33974793151482846,0.33904020332083684,0.38120836582189394,0.4817607399670083,0.5133603335606239,0.18682110317296116,1.0043973676936235,0.799860905077315
