n,cov_cls,cov_ppi,cov_oppi,cov_wppi,wid_cls,wid_ppi,wid_oppi,wid_wppi,mse_cls,mse_ppi,mse_oppi,mse_wppi,ess_ppi,ess_oppi,ess_wppi
50,0.6352,0.7928,0.7,0.7888,0.1763905740082264,0.14673941162228585,0.18699757993221283,0.16666281631309232,0.007633682459883858,0.003220538189052604,0.0074570951017085465,0.004366337158678724,1.486345154285431,0.9415947864055634,1.2233690959139172
100,0.4608,0.8231999999999999,0.684,0.8344,0.1263443936407566,0.10618646284937859,0.1342062896192074,0.12176765213559552,0.005632973775616847,0.0015324997949355747,0.004034249331860337,0.0019869049599380724,1.4306701831817628,0.9210413086414337,1.1233668480352863
200,0.224,0.7527999999999999,0.6616000000000001,0.7696000000000001,0.08906692609190942,0.0747847211509943,0.09513342502713204,0.08868399261322997,0.005361834083334543,0.0010374313930806237,0.002514530848013237,0.001305774356490542,1.4262230501174926,0.8978421572446823,1.0366328460223053
300,0.0984,0.7335999999999999,0.6088,0.768,0.07298902168869972,0.06154220335185528,0.07848418626189232,0.07394756022278097,0.004956826140754856,0.0007398693983886915,0.0018131479921339633,0.0009764372758358724,1.4107906069755554,0.8828142545223236,0.9903662456413798
400,0.0648,0.696,0.5776,0.7392,0.06331133335828781,0.05341390722990036,0.06819744634628296,0.0648870755909275,0.004805498806526884,0.0006465955207168009,0.0015783172084920807,0.0008088109649400111,1.4079073610305786,0.8765786015987396,0.966824832340135
500,0.016800000000000002,0.6823999999999999,0.5536,0.72,0.056645444691181185,0.04775001691281795,0.06050003206729889,0.05841882135697922,0.004712461727904156,0.0005446319812253932,0.0012878465126559605,0.0006966478029628007,1.4093133392333985,0.886944376707077,0.9508011865637648
